as	a
abmurksend	abmurksen
abmurksens	abmurksen
abmurksest	abmurksen
abmurkset	abmurksen
abmurkst	abmurksen
abmurkste	abmurksen
abmurksten	abmurksen
abmurkstest	abmurksen
abmurkstet	abmurksen
abzumurksen	abmurksen
abgenommen	abnehmen
abnahm	abnehmen
abnähme	abnehmen
abnahmen	abnehmen
abnähmen	abnehmen
abnähmest	abnehmen
abnähmet	abnehmen
abnahmst	abnehmen
abnahmt	abnehmen
abnehme	abnehmen
abnehmend	abnehmen
abnehmens	abnehmen
abnehmest	abnehmen
abnehmet	abnehmen
abnehmt	abnehmen
abnimmst	abnehmen
abnimmt	abnehmen
abzunehmen	abnehmen
abnehmern	abnehmer
abnehmers	abnehmer
abgeneigt	abneigen
abneige	abneigen
abneigend	abneigen
abneigens	abneigen
abneigest	abneigen
abneiget	abneigen
abneigst	abneigen
abneigt	abneigen
abneigte	abneigen
abneigten	abneigen
abneigtest	abneigen
abneigtet	abneigen
abzuneigen	abneigen
abneigungen	abneigung
abnormale	abnormal
abnormalem	abnormal
abnormalen	abnormal
abnormaler	abnormal
abnormales	abnormal
abgenutzt	abnutzen
abnutze	abnutzen
abnutzend	abnutzen
abnutzens	abnutzen
abnutzest	abnutzen
abnutzet	abnutzen
abnutzt	abnutzen
abnutzte	abnutzen
abnutzten	abnutzen
abnutztest	abnutzen
abnutztet	abnutzen
abzunutzen	abnutzen
abonniere	abonnieren
abonnierend	abonnieren
abonnierens	abonnieren
abonnierest	abonnieren
abonnieret	abonnieren
abonnierst	abonnieren
abonniert	abonnieren
abonnierte	abonnieren
abonnierten	abonnieren
abonniertest	abonnieren
abonniertet	abonnieren
abgeprallt	abprallen
abpralle	abprallen
abprallend	abprallen
abprallens	abprallen
abprallest	abprallen
abprallet	abprallen
abprallst	abprallen
abprallt	abprallen
abprallte	abprallen
abprallten	abprallen
abpralltest	abprallen
abpralltet	abprallen
abzuprallen	abprallen
abrahams	abraham
abrakadabras	abrakadabra
abrasiere	abrasieren
abrasierend	abrasieren
abrasierens	abrasieren
abrasierest	abrasieren
abrasieret	abrasieren
abrasierst	abrasieren
abrasiert	abrasieren
abrasierte	abrasieren
abrasierten	abrasieren
abrasiertest	abrasieren
abrasiertet	abrasieren
abzurasieren	abrasieren
abgeraten	abraten
abrät	abraten
abrate	abraten
abratend	abraten
abratens	abraten
abratest	abraten
abratet	abraten
abrätst	abraten
abriet	abraten
abriete	abraten
abrieten	abraten
abrietest	abraten
abrietet	abraten
abzuraten	abraten
abgeräumt	abräumen
abräume	abräumen
abräumend	abräumen
abräumens	abräumen
abräumest	abräumen
abräumet	abräumen
abräumst	abräumen
abräumt	abräumen
abräumte	abräumen
abräumten	abräumen
abräumtest	abräumen
abräumtet	abräumen
abzuräumen	abräumen
abgerechnet	abrechnen
abrechne	abrechnen
abrechnend	abrechnen
abrechnens	abrechnen
abrechnest	abrechnen
abrechnet	abrechnen
abrechnete	abrechnen
abrechneten	abrechnen
abrechnetest	abrechnen
abrechnetet	abrechnen
abzurechnen	abrechnen
abrechnungen	abrechnung
abgeregt	abregen
abrege	abregen
abregend	abregen
abregens	abregen
abregest	abregen
abreget	abregen
abregst	abregen
abregt	abregen
abregte	abregen
abregten	abregen
abregtest	abregen
abregtet	abregen
abzuregen	abregen
abreibungen	abreibung
abgereist	abreisen
abreise	abreisen
abreisend	abreisen
abreisens	abreisen
abreisest	abreisen
abreiset	abreisen
abreist	abreisen
abreiste	abreisen
abreisten	abreisen
abreistest	abreisen
abreistet	abreisen
abzureisen	abreisen
abgerissen	abreißen
abreiße	abreißen
abreißend	abreißen
abreißens	abreißen
abreißest	abreißen
abreißet	abreißen
abreißt	abreißen
abriß	abreißen
abrisse	abreißen
abrissen	abreißen
abrissest	abreißen
abrisset	abreißen
abrißt	abreißen
abzureißen	abreißen
abgerichtet	abrichten
abrichte	abrichten
abrichtend	abrichten
abrichtens	abrichten
abrichtest	abrichten
abrichtet	abrichten
abrichtete	abrichten
abrichteten	abrichten
abrichtetest	abrichten
abrichtetet	abrichten
abzurichten	abrichten
abgeriegelt	abriegeln
abriegele	abriegeln
abriegelnd	abriegeln
abriegelns	abriegeln
abriegelst	abriegeln
abriegelt	abriegeln
abriegelte	abriegeln
abriegelten	abriegeln
abriegeltest	abriegeln
abriegeltet	abriegeln
abriegle	abriegeln
abzuriegeln	abriegeln
abgerückt	abrücken
abrücke	abrücken
abrückend	abrücken
abrückens	abrücken
abrückest	abrücken
abrücket	abrücken
abrückst	abrücken
abrückt	abrücken
abrückte	abrücken
abrückten	abrücken
abrücktest	abrücken
abrücktet	abrücken
abzurücken	abrücken
abrufs	abruf
abgerufen	abrufen
abrief	abrufen
abriefe	abrufen
abriefen	abrufen
abriefest	abrufen
abriefet	abrufen
abriefst	abrufen
abrieft	abrufen
abrufe	abrufen
abrufend	abrufen
abrufens	abrufen
abrufest	abrufen
abrufet	abrufen
abrufst	abrufen
abruft	abrufen
abzurufen	abrufen
abrupte	abrupt
abruptem	abrupt
abrupten	abrupt
abrupter	abrupt
abruptere	abrupt
abrupterem	abrupt
abrupteren	abrupt
abrupterer	abrupt
abrupteres	abrupt
abruptes	abrupt
abrupteste	abrupt
abruptestem	abrupt
abruptesten	abrupt
abruptester	abrupt
abruptestes	abrupt
abgerutscht	abrutschen
abrutsche	abrutschen
abrutschend	abrutschen
abrutschens	abrutschen
abrutschest	abrutschen
abrutschet	abrutschen
abrutschst	abrutschen
abrutscht	abrutschen
abrutschte	abrutschen
abrutschten	abrutschen
abrutschtest	abrutschen
abrutschtet	abrutschen
abzurutschen	abrutschen
abgesagt	absagen
absage	absagen
absagend	absagen
absagens	absagen
absagest	absagen
absaget	absagen
absagst	absagen
absagt	absagen
absagte	absagen
absagten	absagen
absagtest	absagen
absagtet	absagen
abzusagen	absagen
abgesägt	absägen
absäge	absägen
absägend	absägen
absägens	absägen
absägest	absägen
absäget	absägen
absägst	absägen
absägt	absägen
absägte	absägen
absägten	absägen
absägtest	absägen
absägtet	absägen
abzusägen	absägen
abgesahnt	absahnen
absahne	absahnen
absahnend	absahnen
absahnens	absahnen
absahnest	absahnen
absahnet	absahnen
absahnst	absahnen
absahnt	absahnen
absahnte	absahnen
absahnten	absahnen
absahntest	absahnen
absahntet	absahnen
abzusahnen	absahnen
absatze	absatz
absätze	absatz
absätzen	absatz
absatzes	absatz
abgesoffen	absaufen
absaufe	absaufen
absaufend	absaufen
absaufens	absaufen
absaufest	absaufen
absaufet	absaufen
absäufst	absaufen
absauft	absaufen
absäuft	absaufen
absoff	absaufen
absöffe	absaufen
absoffen	absaufen
absöffen	absaufen
absöffest	absaufen
absöffet	absaufen
absoffst	absaufen
absofft	absaufen
abzusaufen	absaufen
abgesaugt	absaugen
abgesogen	absaugen
absauge	absaugen
absaugend	absaugen
absaugens	absaugen
absaugest	absaugen
absauget	absaugen
absaugst	absaugen
absaugt	absaugen
absaugte	absaugen
absaugten	absaugen
absaugtest	absaugen
absaugtet	absaugen
absog	absaugen
absöge	absaugen
absogen	absaugen
absögen	absaugen
absögest	absaugen
absöget	absaugen
absogst	absaugen
absogt	absaugen
abzusaugen	absaugen
abgeschafft	abschaffen
abschaffe	abschaffen
abschaffend	abschaffen
abschaffens	abschaffen
abschaffest	abschaffen
abschaffet	abschaffen
abschaffst	abschaffen
abschafft	abschaffen
abschaffte	abschaffen
abschafften	abschaffen
abschafftest	abschaffen
abschafftet	abschaffen
abzuschaffen	abschaffen
abschaffungen	abschaffung
abgeschaltet	abschalten
abschalte	abschalten
abschaltend	abschalten
abschaltens	abschalten
abschaltest	abschalten
abschaltet	abschalten
abschaltete	abschalten
abschalteten	abschalten
abschaltetest	abschalten
abschaltetet	abschalten
abzuschalten	abschalten
abgeschätzt	abschätzen
abschätze	abschätzen
abschätzend	abschätzen
abschätzens	abschätzen
abschätzest	abschätzen
abschätzet	abschätzen
abschätzt	abschätzen
abschätzte	abschätzen
abschätzten	abschätzen
abschätztest	abschätzen
abschätztet	abschätzen
abzuschätzen	abschätzen
abschaums	abschaum
abgeschieden	abscheiden
abscheide	abscheiden
abscheidend	abscheiden
abscheidens	abscheiden
abscheidest	abscheiden
abscheidet	abscheiden
abschied	abscheiden
abschiede	abscheiden
abschieden	abscheiden
abschiedest	abscheiden
abschiedet	abscheiden
abzuscheiden	abscheiden
abscheus	abscheu
abscheuliche	abscheulich
abscheulichem	abscheulich
abscheulichen	abscheulich
abscheulicher	abscheulich
abscheulichere	abscheulich
abscheulicherem	abscheulich
abscheulicheren	abscheulich
abscheulicherer	abscheulich
abscheulicheres	abscheulich
abscheuliches	abscheulich
abscheulichste	abscheulich
abscheulichstem	abscheulich
abscheulichsten	abscheulich
abscheulichster	abscheulich
abscheulichstes	abscheulich
abgeschoben	abschieben
abschiebe	abschieben
abschiebend	abschieben
abschiebens	abschieben
abschiebest	abschieben
abschiebet	abschieben
abschiebst	abschieben
abschiebt	abschieben
abschob	abschieben
abschöbe	abschieben
abschoben	abschieben
abschöben	abschieben
abschöbest	abschieben
abschöbet	abschieben
abschobst	abschieben
abschobt	abschieben
abzuschieben	abschieben
abschiebungen	abschiebung
abgeschossen	abschießen
abschieße	abschießen
abschießend	abschießen
abschießens	abschießen
abschießest	abschießen
abschießet	abschießen
abschießt	abschießen
abschoß	abschießen
abschösse	abschießen
abschossen	abschießen
abschössen	abschießen
abschössest	abschießen
abschösset	abschießen
abschoßt	abschießen
abzuschießen	abschießen
abgeschirmt	abschirmen
abschirme	abschirmen
abschirmend	abschirmen
abschirmens	abschirmen
abschirmest	abschirmen
abschirmet	abschirmen
abschirmst	abschirmen
abschirmt	abschirmen
abschirmte	abschirmen
abschirmten	abschirmen
abschirmtest	abschirmen
abschirmtet	abschirmen
abzuschirmen	abschirmen
abgeschlachtet	abschlachten
abschlachte	abschlachten
abschlachtend	abschlachten
abschlachtens	abschlachten
abschlachtest	abschlachten
abschlachtet	abschlachten
abschlachtete	abschlachten
abschlachteten	abschlachten
abschlachtetest	abschlachten
abschlachtetet	abschlachten
abzuschlachten	abschlachten
abschlage	abschlag
abschläge	abschlag
abschlägen	abschlag
abschlages	abschlag
abschlags	abschlag
abgeschlagen	abschlagen
abschlagend	abschlagen
abschlagens	abschlagen
abschlagest	abschlagen
abschlaget	abschlagen
abschlägst	abschlagen
abschlagt	abschlagen
abschlägt	abschlagen
abschlug	abschlagen
abschlüge	abschlagen
abschlugen	abschlagen
abschlügen	abschlagen
abschlügest	abschlagen
abschlüget	abschlagen
abschlugst	abschlagen
abschlugt	abschlagen
abzuschlagen	abschlagen
abgeschleppt	abschleppen
abschleppe	abschleppen
abschleppend	abschleppen
abschleppens	abschleppen
abschleppest	abschleppen
abschleppet	abschleppen
abschleppst	abschleppen
abschleppt	abschleppen
abschleppte	abschleppen
abschleppten	abschleppen
abschlepptest	abschleppen
abschlepptet	abschleppen
abzuschleppen	abschleppen
abgeschlossen	abschließen
abschließe	abschließen
abschließend	abschließen
abschließens	abschließen
abschließest	abschließen
abschließet	abschließen
abschließt	abschließen
abschloß	abschließen
abschlösse	abschließen
abschlossen	abschließen
abschlössen	abschließen
abschlössest	abschließen
abschlösset	abschließen
abschloßt	abschließen
abzuschließen	abschließen
abschlusse	abschluß
abschlüsse	abschluß
abschlüssen	abschluß
abschlusses	abschluß
abgeschminkt	abschminken
abschminke	abschminken
abschminkend	abschminken
abschminkens	abschminken
abschminkest	abschminken
abschminket	abschminken
abschminkst	abschminken
abschminkt	abschminken
abschminkte	abschminken
abschminkten	abschminken
abschminktest	abschminken
abschminktet	abschminken
abzuschminken	abschminken
abgeschnitten	abschneiden
abschneide	abschneiden
abschneidend	abschneiden
abschneidens	abschneiden
abschneidest	abschneiden
abschneidet	abschneiden
abschnitt	abschneiden
abschnitte	abschneiden
abschnitten	abschneiden
abschnittest	abschneiden
abschnittet	abschneiden
abzuschneiden	abschneiden
abgeschreckt	abschrecken
abgeschrocken	abschrecken
abschrak	abschrecken
abschräke	abschrecken
abschraken	abschrecken
abschräken	abschrecken
abschräkest	abschrecken
abschräket	abschrecken
abschrakst	abschrecken
abschrakt	abschrecken
abschrecke	abschrecken
abschreckend	abschrecken
abschreckens	abschrecken
abschreckest	abschrecken
abschrecket	abschrecken
abschreckst	abschrecken
abschreckt	abschrecken
abschreckte	abschrecken
abschreckten	abschrecken
abschrecktest	abschrecken
abschrecktet	abschrecken
abschrickst	abschrecken
abschrickt	abschrecken
abzuschrecken	abschrecken
abgeschrieben	abschreiben
abschreibe	abschreiben
abschreibend	abschreiben
abschreibens	abschreiben
abschreibest	abschreiben
abschreibet	abschreiben
abschreibst	abschreiben
abschreibt	abschreiben
abschrieb	abschreiben
abschriebe	abschreiben
abschrieben	abschreiben
abschriebest	abschreiben
abschriebet	abschreiben
abschriebst	abschreiben
abschriebt	abschreiben
abzuschreiben	abschreiben
abschriften	abschrift
abschürfungen	abschürfung
abgeschüttelt	abschütteln
abschüttele	abschütteln
abschüttelnd	abschütteln
abschüttelns	abschütteln
abschüttelst	abschütteln
abschüttelt	abschütteln
abschüttelte	abschütteln
abschüttelten	abschütteln
abschütteltest	abschütteln
abschütteltet	abschütteln
abschüttle	abschütteln
abzuschütteln	abschütteln
abgeschworen	abschwören
abschwor	abschwören
abschwöre	abschwören
abschworen	abschwören
abschwörend	abschwören
abschwörens	abschwören
abschwörest	abschwören
abschwöret	abschwören
abschworst	abschwören
abschwörst	abschwören
abschwort	abschwören
abschwört	abschwören
abzuschwören	abschwören
abgesegnet	absegnen
absegne	absegnen
absegnend	absegnen
absegnens	absegnen
absegnest	absegnen
absegnet	absegnen
absegnete	absegnen
absegneten	absegnen
absegnetest	absegnen
absegnetet	absegnen
abzusegnen	absegnen
absehbare	absehbar
absehbarem	absehbar
absehbaren	absehbar
absehbarer	absehbar
absehbares	absehbar
abgesehen	absehen
absah	absehen
absähe	absehen
absahen	absehen
absähen	absehen
absähest	absehen
absähet	absehen
absahst	absehen
absaht	absehen
absehe	absehen
absehend	absehen
absehens	absehen
absehest	absehen
absehet	absehen
abseht	absehen
absiehst	absehen
absieht	absehen
abzusehen	absehen
abgeseilt	abseilen
abseile	abseilen
abseilend	abseilen
abseilens	abseilen
abseilest	abseilen
abseilet	abseilen
abseilst	abseilen
abseilt	abseilen
abseilte	abseilen
abseilten	abseilen
abseiltest	abseilen
abseiltet	abseilen
abzuseilen	abseilen
abgesetzt	absetzen
absetze	absetzen
absetzend	absetzen
absetzens	absetzen
absetzest	absetzen
absetzet	absetzen
absetzt	absetzen
absetzte	absetzen
absetzten	absetzen
absetztest	absetzen
absetztet	absetzen
abzusetzen	absetzen
abgesichert	absichern
absichere	absichern
absichernd	absichern
absicherns	absichern
absicherst	absichern
absichert	absichern
absicherte	absichern
absicherten	absichern
absichertest	absichern
absichertet	absichern
abzusichern	absichern
absicherungen	absicherung
absichten	absicht
abgesessen	absitzen
absaß	absitzen
absäße	absitzen
absaßen	absitzen
absäßen	absitzen
absäßest	absitzen
absäßet	absitzen
absaßt	absitzen
absitze	absitzen
absitzend	absitzen
absitzens	absitzen
absitzest	absitzen
absitzet	absitzen
absitzt	absitzen
abzusitzen	absitzen
absolute	absolut
absolutem	absolut
absoluten	absolut
absoluter	absolut
absolutes	absolut
absolutionen	absolution
absolviere	absolvieren
absolvierend	absolvieren
absolvierens	absolvieren
absolvierest	absolvieren
absolvieret	absolvieren
absolvierst	absolvieren
absolviert	absolvieren
absolvierte	absolvieren
absolvierten	absolvieren
absolviertest	absolvieren
absolviertet	absolvieren
absorbiere	absorbieren
absorbierend	absorbieren
absorbierens	absorbieren
absorbierest	absorbieren
absorbieret	absorbieren
absorbierst	absorbieren
absorbiert	absorbieren
absorbierte	absorbieren
absorbierten	absorbieren
absorbiertest	absorbieren
absorbiertet	absorbieren
abgesperrt	absperren
absperre	absperren
absperrend	absperren
absperrens	absperren
absperrest	absperren
absperret	absperren
absperrst	absperren
absperrt	absperren
absperrte	absperren
absperrten	absperren
absperrtest	absperren
absperrtet	absperren
abzusperren	absperren
absperrungen	absperrung
abspiele	abspiel
abspielen	abspiel
abspiels	abspiel
abgespielt	abspielen
abspielend	abspielen
abspielens	abspielen
abspielest	abspielen
abspielet	abspielen
abspielst	abspielen
abspielt	abspielen
abspielte	abspielen
abspielten	abspielen
abspieltest	abspielen
abspieltet	abspielen
abzuspielen	abspielen
absprachen	absprache
abgesprochen	absprechen
absprach	absprechen
abspräche	absprechen
absprächen	absprechen
absprächest	absprechen
absprächet	absprechen
absprachst	absprechen
abspracht	absprechen
abspreche	absprechen
absprechend	absprechen
absprechens	absprechen
absprechest	absprechen
absprechet	absprechen
absprecht	absprechen
absprichst	absprechen
abspricht	absprechen
abzusprechen	absprechen
abgesprungen	abspringen
absprang	abspringen
abspränge	abspringen
absprangen	abspringen
absprängen	abspringen
absprängest	abspringen
abspränget	abspringen
absprangst	abspringen
absprangt	abspringen
abspringe	abspringen
abspringend	abspringen
abspringens	abspringen
abspringest	abspringen
abspringet	abspringen
abspringst	abspringen
abspringt	abspringen
abzuspringen	abspringen
abgespritzt	abspritzen
abspritze	abspritzen
abspritzend	abspritzen
abspritzens	abspritzen
abspritzest	abspritzen
abspritzet	abspritzen
abspritzt	abspritzen
abspritzte	abspritzen
abspritzten	abspritzen
abspritztest	abspritzen
abspritztet	abspritzen
abzuspritzen	abspritzen
absprunge	absprung
absprünge	absprung
absprüngen	absprung
absprungs	absprung
abgespült	abspülen
abspüle	abspülen
abspülend	abspülen
abspülens	abspülen
abspülest	abspülen
abspület	abspülen
abspülst	abspülen
abspült	abspülen
abspülte	abspülen
abspülten	abspülen
abspültest	abspülen
abspültet	abspülen
abzuspülen	abspülen
abgestammt	abstammen
abstamme	abstammen
abstammend	abstammen
abstammens	abstammen
abstammest	abstammen
abstammet	abstammen
abstammst	abstammen
abstammt	abstammen
abstammte	abstammen
abstammten	abstammen
abstammtest	abstammen
abstammtet	abstammen
abzustammen	abstammen
abstammungen	abstammung
abstande	abstand
abstände	abstand
abständen	abstand
abstandes	abstand
abstands	abstand
abgestattet	abstatten
abstatte	abstatten
abstattend	abstatten
abstattens	abstatten
abstattest	abstatten
abstattet	abstatten
abstattete	abstatten
abstatteten	abstatten
abstattetest	abstatten
abstattetet	abstatten
abzustatten	abstatten
abgestaubt	abstauben
abstaube	abstauben
abstaubend	abstauben
abstaubens	abstauben
abstaubest	abstauben
abstaubet	abstauben
abstaubst	abstauben
abstaubt	abstauben
abstaubte	abstauben
abstaubten	abstauben
abstaubtest	abstauben
abstaubtet	abstauben
abzustauben	abstauben
abgestochen	abstechen
abstach	abstechen
abstäche	abstechen
abstachen	abstechen
abstächen	abstechen
abstächest	abstechen
abstächet	abstechen
abstachst	abstechen
abstacht	abstechen
absteche	abstechen
abstechend	abstechen
abstechens	abstechen
abstechest	abstechen
abstechet	abstechen
abstecht	abstechen
abstichst	abstechen
absticht	abstechen
abzustechen	abstechen
abgestanden	abstehen
abstand	abstehen
abstanden	abstehen
abstandest	abstehen
abstandet	abstehen
abstehe	abstehen
abstehend	abstehen
abstehens	abstehen
abstehest	abstehen
abstehet	abstehen
abstehst	abstehen
absteht	abstehen
abstünde	abstehen
abstünden	abstehen
abstündest	abstehen
abstündet	abstehen
abzustehen	abstehen
absteigen	absteige
abgestiegen	absteigen
absteige	absteigen
absteigend	absteigen
absteigens	absteigen
absteigest	absteigen
absteiget	absteigen
absteigst	absteigen
absteigt	absteigen
abstieg	absteigen
abstiege	absteigen
abstiegen	absteigen
abstiegest	absteigen
abstieget	absteigen
abstiegst	absteigen
abstiegt	absteigen
abzusteigen	absteigen
abgestellt	abstellen
abstelle	abstellen
abstellend	abstellen
abstellens	abstellen
abstellest	abstellen
abstellet	abstellen
abstellst	abstellen
abstellt	abstellen
abstellte	abstellen
abstellten	abstellen
abstelltest	abstellen
abstelltet	abstellen
abzustellen	abstellen
abstellraume	abstellraum
abstellräume	abstellraum
abstellräumen	abstellraum
abstellraums	abstellraum
abgestempelt	abstempeln
abstempele	abstempeln
abstempelnd	abstempeln
abstempelns	abstempeln
abstempelst	abstempeln
abstempelt	abstempeln
abstempelte	abstempeln
abstempelten	abstempeln
abstempeltest	abstempeln
abstempeltet	abstempeln
abstemple	abstempeln
abzustempeln	abstempeln
abgestimmt	abstimmen
abstimme	abstimmen
abstimmend	abstimmen
abstimmens	abstimmen
abstimmest	abstimmen
abstimmet	abstimmen
abstimmst	abstimmen
